,2020-05-26
49,亿万的亿年：劝人学医天打雷劈，劝人学护士？过分的话我就不说了，护士又累有没钱没时没休息周考月考季考年考轮番上阵，还有抽查，患者不尊重护士，医生看不起护士，最主要的是你毕业也不会找到工作，医院基本不缺护士，就算比例缺少也不招人，招人也招年轻能倒夜班的，护士工资还不如清洁工！
50,RobinFood：月薪十万 你看有人报没有
51,咆哮的小猴子咩：应该呼吁提高待遇才对，待遇不提高，又累又受气，呼吁能有什么用。
52,scott在：选你吗 我去年一个月工资1900都拿过
53,新火煮新茶009：大可不必，先把对护理专业的污名化予以纠正才是第一要务
54,是少年游啊：我真心建议广大高中生们，不要来不要来不要来，还有能转专业的大一生，快跑吧！你的付出并不能配上你的所得，你听的医生待遇好真的只是幸存者理论，不好的一大把。你不要以为累你可以坚持，只要有钱，其实没钱！我看到一句话说：对很多家庭来说，学医就是不孝。我是现在才意识到这句话
55,程大叔J：护士离职率高的一批，谁学谁后悔
56,爆辣圈：待遇好，人自然就来了 不用劝，现在大医院基本饱和
57,怎桥：领导的儿女会不会去选择这个职业呢
58,上海的早陈：是否应该大幅度增加医疗卫生经费和医务人员的编制、并推迟医务人员的退休年龄（可立竿见影地减缓医务人员短缺的问题，增加培训是“远水”）？
59,是桃子味儿哒：我今年毕业，真的不太好找工作
60,52hertz-9696：对这个职业的失望不是脏苦累，而是一个又一个看不到尽头的夜班（本人北京三甲医院icu护士，一个月夜班至少十一二个，快熬不住了）
61,人间甜饼李起光：你挺损啊 护理谁干谁知道
62,想给豆奶养只三弟：想想一个乡镇卫生院招聘护士要求本科毕业，有护师职职称
63,Xi程Cheng：招护理的时候没说要求身高，一毕业找工作各个医院都要求身高，害死个人
64,帕灿捏：希望首先给护士们提高一下薪资待遇然后再谈就业前景的问题
65,暮岁予一：别了吧，真的太憋屈了，特别是今年的应届毕业生
66,第七座南城：疫情期间，基本工资低。没患者没奖金。没补助，干着危险的活。月底开的钱养活不了自己。患者也不理解，该说说该骂骂，谁都会呼吁，谁又真正了解
67,ybq小杨：改善护士工资待遇问题是根本
68,去吃宵夜：可是今年并不好就业啊，护士执业资格证考试推迟了考试时间至今还没定，虽然说今年允许先上岗后考证可是说真的哪个医院敢要你？现在就是无限期的待业等考证，真的很没有意思很卑微了
69,哈哈03716：护理面试要身高，要漂亮，这又不是选美。 干的活又是最累的，工资低
70,從訫嗳妳l：还是算了吧
71,邱呐_追坤少女：本科护理学生建议158以下女生不要报奥，有身高要求的奥，我也是搞不明白为什么还有身高要求， 还要会才艺，是选美吗?
72,苏素纸纸：提高护理岗位待遇和地位才是关键
73,南方有花花：会呼吁更多人选择护理专业的人，是因为没有体会过护士工作有多辛苦地位多卑微才会说的这么风淡云轻
