,2020-01-30
89,怀揣梦想的鸡腿：理论来说是欠妥的，直接砸坏确实欠妥，但是有个前提，当前是疫情管控的时期，基于人活着再去讨论砸东西是否欠妥，才是有意义的，如果都被传染然后死掉了，这个问题就没有什么讨论的意义了，优先级别来说，活着的优先级别更高一些。然后是砸东西欠妥。
90,共14条回复
91,一心想逃章北海：破坏私人财产，不知道最后警察有赔钱吗？
92,刘桉树：不仅不会赔 而且还会被人说成硬核干得好.... 大多数网友真可怕
93,陶子的无聊时间：民警做法欠妥，暂扣倒是可以的。赔钱的可能性很小，民还是怕官的…
94,共8条回复
95,神喵喵_：看的真爽
96,好是何如：有些人就跟牲口一样，说着不走打着走，不把麻将机砸了，这帮东西还是老样子
97,背着一笼铜钱回家：是的 没收了 也许过不两天又买新的了 直接咋了 并警告说如有下次就不是砸东西了 直接拘留半月
98,午后_小憩：还是觉得过了点
99,春夏秋冬呀呀：杀鸡儆猴
100,5A0D：封了就可以，为什么要砸？
101,陈陈陈up：因为封了有些人还是不要脸，还是要悄悄打牌
102,Roof-Truss：回复@陈陈陈up:拘留咯
103,共6条回复
104,小园子哇哦：安徽农村现在还是这样！都是不要命 不怕死的！
105,拉粑粑真费劲啊：我妈天天去戴个口罩去打牌跟她说也不听
106,倪特特Popeye：你封就封 砸什么砸啊？！
107,吾爱食瓜：公民私人财产不受保护了？ 没收不行吗？
108,青春不悔lxl：砸的好
109,天天天蓝爱飞鱼_：砸的好
110,我爱小点点：干得漂亮
111,妃色荼白：这些人真的说不听 万一感染怎么办？别求政府别求医院 自己爆炸算了
112,牛牛动物园园长：如果先赔钱给主人，就做的完美了
113,诉乄惜：麻将桌只要是完好的无论怎么劝说要求都是没用的  人走了接着再打    所以把问题消灭在源头是正确的虽然暴力了点
114,部落格-Blog：特殊时期呀！！大家都理解一下！人多容易互相传播
115,加菲掉在花堆里：砸的好
116,aRollingDAYDreamer：评论真怪
117,欧洲鳇鱼：?又是梨视频?
118,北雁兮南飞：問君能有幾多愁，恰似一桌麻將搓又搓
119,HI敏敏：不是杠，棋牌室或是聚集性的可以采取强硬措施。但一家人在一起，应该没必要吧，反正也不能出门啊……
120,花多知少：反正赌博都是要没收！砸了也好！省的二次出售！给他们留隐患！！
121,记事本中间页：砸得好
122,刺猬草的小屋：这是私人财产这么有力气砸人家东西怎么不去前线武汉援助去！
123,Roof-Truss：你敢砸大奔吗
124,到处漫游中：为啥可以砸呢？
125,掉毛的毛巾：不是披了件皮就可以为所欲为的，执法前请先想想你的行为合法么？法律依据是什么？亏你们还知道依法传唤，砸东西也是依法了？
126,Sunday叶子：还好，大家和我的想法一样
127,地瓜葉糖糖：凭什么砸，要赔偿
128,奔情少男一把火：今天早晨日本新闻也播放了这个砸麻将机的视频，看到以后，还是比较震惊……解决问题的方法有很多，没有必要非生即死，毕竟我们都是普通人，谁都不知道下次走霉运的是谁……
129,花鸟一床书_12657：替聚众赌博说话的那些，聚众赌博本来就是犯罪。一个骑三轮的违法营业的你都可以收他三轮车。没收麻将机本来就无可厚非。尤其在这非常时期。怎么高效的行使权力，不就这样。劝说管用吗。
130,Hello-Fajan：法制社会，并没有深入每个角落
131,像一颗海草i：砸了干嘛，没收啊，等风头过去叫人拿钱赎
132,FlyingRabbit123：这砸麻将机也是依法吗
133,海边的怡口莲：法西斯来了
134,爱吃辣的女孩运气不会太差：为什么有这么多麻将机
135,lim抹香香：我觉得等到疫情过去后，麻将机的生意会很好。
136,装作神经病：字词
137,奋青团团员树神：能砸肯定不是抓到一次两次了
138,滴水辰星：可以把麻将桌没收抬回去
139,小呢呵1314-123：感觉有点过了吧
140,V东东强：呵呵
141,葛峰先生：真JB硬
142,niyozon：支持！
143,天高水长山高海阔：支持！非常时期，好好说话，那些混人是不会听的
144,奥森巡游者：4个人凑小轿车里待着，还能把车砸了？
145,想有个高压水枪：这个不是私有财产吗？可以砸吗
146,乐乐天天吃襄平：赌博违法
147,乐乐天天吃襄平：回复 @我骑着驴2020:我看别的视频，应该是有钱的
148,岭南农家人：
149,暇日无多：麻将没有错！
150,双月薇笑：不砸那些人还要来玩信不信？？？砸的漂亮
151,莲长子兴长痘：@parker洁
152,caiquanq：太过了吧？
153,猪小小84：砸得好
154,破碎灵薇：一群站着说话不腰疼的睿智
155,中子928：毁坏别人财物违法吧
156,小熊铃铛50044：赌博的人真的是“不要脸”，我妈小区里都收走几个麻将桌了，还抓了几个人。但是想赌的人照样能聚集起来偷摸的赌起来
157,植僵日记：回复@潇湘夜语:我越权你XX呢
158,jenny7381914272：砸得好！！每天那么多事情可以做，赌什么？
159,二胖儿：不合适
160,风吹的我喘不过気：打麻将违法吗？
161,天山区维纳斯路8棟24号：是赌博
162,陆晚晚晚晚：这才是媒体应该做的事，而不是搞什么挖掘机打投，望周知。
