日期,内容
2020-05-24,哇撒，所长是漂亮小姐姐～(￣▽￣～)~
2020-05-24,舒适
2020-05-24,好看。
2020-05-24,这是嫁给导师的那位所长吗？
2020-05-24,lll
2020-05-24,好看！
2020-05-24,很高吗？才96
2020-05-25,这记者是自己人吗？
2020-05-25,高三理科生表示soeasy
2020-05-25,这么年轻就当所长了？！！！！！
2020-05-25,人工改造？玉皇大帝下凡？（狗头
2020-05-25,大提琴所长
2020-05-25,前面的说人为改造的，你生物白学了吗？
2020-05-25,声音好好听
2020-05-25,弹幕酸死了
2020-05-25,艺术生，没高考准考证
2020-05-25,大提琴特长生你来啦
2020-05-25,感觉今年高考好多知识点鸭
2020-05-25,随机性
2020-05-25,理科生学了高中生物的应该都能懂吧
2020-05-25,这家伙怎么还是所长
2020-05-25,所长好年轻
2020-05-25,王所长气质！
2020-05-25,所长漂亮
2020-05-25,是的
2020-05-25,临床经验丰富
2020-05-25,画重点………仔猪
2020-05-25,这是央视国际台
2020-05-25,因为这是翻译
2020-05-25,哟，艺术生啊[doge]全才啊
2020-05-25,？？？？？
2020-05-25,保护
2020-05-25,保护
2020-05-25,50年都难进化成
2020-05-25,弹幕什么意思啊，自己人怀疑自己人？
2020-05-25,你为疫情做贡献了吗
2020-05-25,想给外行科普我们所做的科研太难了这个差异在我们看来天差地别...
2020-05-25,一切都是一场阴谋
2020-05-25,舒校长现在很慌
2020-05-25,前面那个相似率那个，人类和猩猩，猴子都比96高
2020-05-25,这个艺术生可以
2020-05-25,确实可以弄高考题，一开文就给你一堆听不懂的文字
2020-05-25,美国去年关了几个生化实验室很可疑
2020-05-25,特朗普：China
2020-05-25,贼喊捉贼美利坚
2020-05-25,王所长
2020-05-25,英文好评发到外网让他们多看见
2020-05-25,问题恰恰在于自然进化需要这么久，如果人为改造呢？
2020-05-25,保护
2020-05-25,我以为会回应饶毅举报事件
2020-05-25,我就单纯好奇啊，没别的意思，这个相似度80%是怎么个概念，有没有懂得解释一下
2020-05-25,红色，我笑了
2020-05-25,*
2020-05-25,她来了她来了艺术特长生她来了！
2020-05-25,保护
2020-05-25,有可能，然后变异进化
2020-05-25,记者问的问题都挺准的
2020-05-25,？？？？
2020-05-25,←小白
2020-05-25,年轻漂亮，好厉害啊
2020-05-25,据说所长是艺术生，这是对科研工作者极大的侮辱啊
2020-05-25,p4负责人是中科院武汉分院院长袁志明
2020-05-25,是征没错
2020-05-25,播放6万了，评论260，希望你们不要对厅长有想法！
2020-05-25,高考要考的
2020-05-25,←左边的，自然突变是有一定的进化方向的，不是任意突变的。她想表达的是新冠和这个病毒之间不存在自然突变的联系。
2020-05-25,这个问题很好
2020-05-25,好孝
2020-05-25,这是那个艺术生吗？果真长的可以
2020-05-25,你不懂你点什么头啊
2020-05-25,几百万猿类跟人类都没拉开多大差距
2020-05-25,发声总比闷着好
2020-05-25,人和大猩猩基因相似程度都有有97%呢
2020-05-25,建国:fakenews
2020-05-25,艺术生，你来了
2020-05-25,人和香蕉都有一半基因相似呢，这说明是完全不同的病毒
2020-05-25,这就是高考关系户，现在所长吗？
2020-05-25,懂的都懂，不懂的还是不懂
2020-05-25,感谢科普
2020-05-25,虽然我懵了，但我觉得说的对
2020-05-25,保护
2020-05-25,保护
2020-05-25,前排保护
2020-05-25,舒红兵
2020-05-25,大提琴
2020-05-25,高考不考这个，学医的害怕
