日期,内容
2020-02-03,很令人佩服是吧
2020-02-03,新加坡本土大部分是马来族人
2020-02-03,事实证明，无论你走多远，在别人眼里你就是中国人
2020-02-03,台湾腔？
2020-02-03,排华的人大多数都是幸灾乐祸的心态
2020-02-03,小国家必须要依附于大的国家，所以墙头草是必然选择！
2020-02-03,老阴阳师了
2020-02-03,其实看到一带一路可以发财，都会舔着来
2020-02-03,毛子挨打
2020-02-03,福建潮汕一片口音
2020-02-03,没有八个，新加坡华人占七成多一点
2020-02-03,但是新加坡当地的华裔并不认为自己是中国人，请想清楚这个事儿
2020-02-03,新加坡是个移民国家，华裔很多，说中文的很多，但他们官方是英语
2020-02-03,好像是李光耀在上世纪预见中国的发展，在新加坡推行双语教育，学习汉语的。
2020-02-03,小国不叫排斥，小国不控制很危险
2020-02-03,好像是李光耀在上世纪预见中国发展，在新加坡推行双语教育，学习汉语的。
2020-02-03,李显龙就是华人啊，他排什么华？
2020-02-03,这病毒就华人得？
2020-02-03,前边那个五五开的你说的很有问题
2020-02-03,“很令我们遗憾的”这不是英式中文吗hhhh
2020-02-03,”南海仲裁案公布时，李显龙兴奋异常，多次公开支持菲律宾，不停的谴责中国应该尊重仲裁案”——铁血网
2020-02-03,”南海仲裁案公布时，李显龙兴奋异常，多次公开支持菲律宾，不停的谴责中国应该尊重仲裁案”——铁血网
2020-02-03,排华呗有啥用哈哈哈哈就喜欢你讨厌缺什么也做不了的样子
2020-02-03,也不是好东西
2020-02-03,有哪些国家，总理？？
2020-02-03,笑死我了，这回又是为了什么？
2020-02-03,新加坡的亚裔面孔也因为这事也受到歧视了呗，老阴阳人了，真以为他就为中国发声。。。。。
2020-02-03,新加坡的亚裔面孔也因为这事也受到歧视了呗，老阴阳人了，真以为他就为中国发声。。。。。
2020-02-03,中国不需要世界了解！
2020-02-03,理解
2020-02-03,排华无外乎国家利益选择，正常。公共卫生事件与人类集体利益有关
2020-02-03,真理在大炮射程之内
2020-02-03,主要是新加坡人被当中国人排挤了！
2020-02-03,终有一天，，，，，我80后看不到，我后代定能看到！！
2020-02-03,就这个时间背景下问题突出出来了吧
2020-02-03,前面的我觉得排华有华人太多的原因相互理解理解嘛
2020-02-03,看火焰山去了?
2020-02-03,？？？？
2020-02-03,原来是为了他们的国人？
2020-02-03,普通话好评
2020-02-03,人老精鬼老灵，越老越鸡贼
2020-02-03,来了来了！
2020-02-03,什么让他变善良了？！
2020-02-03,新加坡是多需要国家，官方语言是英语，也有人会说中文，但也有人不会说的
2020-02-03,新加坡75%都是华人政府一直都是华人在执政且汉语是国家官方语言之一
2020-02-03,理解
2020-02-03,汉语是新加坡语言
2020-02-03,新加坡官方语言英语中文马来西亚语
2020-02-03,新加坡不反华吧，华侨挺多的
2020-02-03,才几年怎么老了这么多
2020-02-03,就算是也不应该！
2020-02-03,李显龙不错啦，外国排华很严重
2020-02-03,华语
2020-02-03,人类与病毒
