日期,内容
2020-01-24,保佑我的家人都平平安安，健健康康
2020-01-24,向英雄致敬！！！
2020-01-24,相信我中✓
2020-01-24,武汉加油！大家都辛苦啦！
2020-01-24,加油！
2020-01-24,辛苦了
2020-01-24,加油！
2020-01-24,国士无双
2020-01-24,"国士无双,"
2020-01-24,钟院士加油！
2020-01-24,辛苦了
2020-01-24,加油
2020-01-24,加油！
2020-01-24,致敬！
2020-01-24,加油
2020-01-24,加油啊啊啊啊啊啊啊啊
2020-01-24,武汉加油
2020-01-24,武汉加油，中国加油世界加油
2020-01-24,大国重器
2020-01-24,加油！
2020-01-24,谢谢教授辛苦了您也要注意身体
2020-01-24,加油！！
2020-01-24,加油
2020-01-24,加油
2020-01-24,加油
2020-01-24,辛苦了，加油
2020-01-24,中国加油辛苦
2020-01-24,致敬
2020-01-24,加油
2020-01-24,国士无双
2020-01-24,南京人
2020-01-24,牛逼
2020-01-24,加油！
2020-01-24,武汉加油，中华人民共和国万岁！
2020-01-24,国士无双
2020-01-24,天佑中华
2020-01-24,jia加油
2020-01-24,致敬
2020-01-24,辛苦了
2020-01-24,中国总是被最勇敢的那批人保护的很好
2020-01-24,加油！！！
2020-01-24,国士无双
2020-01-24,我84岁如果能有这种精神状态就好了
2020-01-24,致敬！
2020-01-24,不老男神
2020-01-24,相信国家！
2020-01-24,加油！！！！
2020-01-24,敬礼！
2020-01-24,院士加油
2020-01-24,中国加油
2020-01-24,国士无双！！
2020-01-24,辛苦了，加油
2020-01-24,加油！
2020-01-24,辛苦了
2020-01-24,辛苦了
2020-01-24,致敬
2020-01-24,辛苦了
2020-01-24,幸苦了辛苦了
2020-01-24,武汉挺住
2020-01-24,辛苦了
2020-01-24,我无条件相信您，您有信心那我就有！
2020-01-24,身体健康！
2020-01-24,辛苦了
2020-01-24,巨佬
2020-01-24,辛苦了
2020-01-24,辛苦了
2020-01-24,向在一线的医护人员致敬
2020-01-24,辛苦了，致敬
2020-01-24,辛苦了，致敬
2020-01-24,相信中国
2020-01-25,您辛苦了
2020-01-25,辛苦了
2020-01-25,国士无双
2020-01-25,加油啊！
2020-01-25,加油
2020-01-25,已经走了。。
