2-21,0.9298597194388778
2-22,0.8743169398907104
2-23,0.8761384335154827
2-24,0.9348697394789579
2-25,0.8797814207650273
2-26,0.8811188811188811
2-27,0.8858858858858859
2-28,0.8460438512869399
2-29,0.6713928273561302
3-1,0.6791770920211287
3-2,0.6701945080091534
3-3,0.669908466819222
3-4,0.6624026696329255
3-5,0.635523613963039
3-6,0.6551451187335092
3-7,0.6424010217113666
3-8,0.6459533951390629
3-9,0.6489601603608118
3-10,0.6477955911823647
3-11,0.6471324818432257
3-12,0.6573216520650813
3-13,0.6021246742834235
3-14,0.5894251952733828
3-15,0.6031875766244381
3-16,0.5959535256410257
3-17,0.5912642756962533
