,topic,content,url
0,过半美国受访者不满意政府的疫情应对,"
　　路透社和益普索集团27日发布的联合民调显示，过半数受访者不满意美国总统唐纳德·特朗普对新冠疫情的应对。
　　53%的受访者不支持特朗普应对疫情的方式，大约41%的人支持。这一比例与上周大体持平，但支持者比例与3月晚些时候比大幅下降，那时支持者人数略多于不支持者。
　　就特朗普的执政表现，大约41%受访者支持，54%不支持。
　　美国约翰斯·霍普金斯大学的疫情汇总数据显示，截至北京时间28日6时32分，美国确诊病例1697459例，死亡病例为100271例。路透社报道，特朗普政府对新冠疫情的应对遭到广泛批评。
　　特朗普谋求在今年总统选举中获得连任。这份民调显示，特朗普的竞选对手、民主党籍竞选人乔·拜登目前在选民中的支持率领先6个百分点，但比上周下降3个百分点。
　　路透社和益普索集团在网上以英语完成这份民调，4429人作答，包括3732名自述是注册选民的受访者，误差范围为正负2个百分点。（郑昊宁）【新华社微特稿】",http://news.southcn.com/international/content/2020-05/29/content_190962369.htm
1,罗马尼亚将进一步放松疫情管控措施,"
　　新华社布加勒斯特5月28日电（记者林惠芬）罗马尼亚总理奥尔班28日晚宣布，该国将于6月1日开始实施第二阶段放松新冠疫情管控措施，包括恢复餐饮业露天营业、居民在国内出行不再受限制等。
　　当天，奥尔班召集全国紧急情况委员会会议，对疫情进行评估并作出实施第二阶段放松管控措施的决定。根据决定，从6月1日起，餐饮业可恢复露天营业，但餐桌间距离须保持两米，每桌客人不得超过4人；居民前往外地不再需要携带出行声明；恢复国际、城际铁路及公路客运交通；海滩向公众开放，但沙滩椅间距离须保持两米；允许举办500人以下的露天音乐会和演出，但人员之间须保持两米距离，观众须戴口罩；允许举办没有观众的露天体育竞赛等。
　　罗马尼亚于5月14日结束为期两个月的疫情防控紧急状态，从15日开始进入低一个等级的戒备状态并开始实施第一阶段放松管控措施。
　　罗马尼亚目前疫情处于平台期。截至28日，罗马尼亚累计新冠确诊病例18791例，累计死亡病例1235例，累计治愈病例12629例。",http://news.southcn.com/international/content/2020-05/29/content_190962415.htm
2,罗马尼亚将进一步放松疫情管控措施,"
　　新华社布加勒斯特5月28日电（记者林惠芬）罗马尼亚总理奥尔班28日晚宣布，该国将于6月1日开始实施第二阶段放松新冠疫情管控措施，包括恢复餐饮业露天营业、居民在国内出行不再受限制等。
　　当天，奥尔班召集全国紧急情况委员会会议，对疫情进行评估并作出实施第二阶段放松管控措施的决定。根据决定，从6月1日起，餐饮业可恢复露天营业，但餐桌间距离须保持两米，每桌客人不得超过4人；居民前往外地不再需要携带出行声明；恢复国际、城际铁路及公路客运交通；海滩向公众开放，但沙滩椅间距离须保持两米；允许举办500人以下的露天音乐会和演出，但人员之间须保持两米距离，观众须戴口罩；允许举办没有观众的露天体育竞赛等。
　　罗马尼亚于5月14日结束为期两个月的疫情防控紧急状态，从15日开始进入低一个等级的戒备状态并开始实施第一阶段放松管控措施。
　　罗马尼亚目前疫情处于平台期。截至28日，罗马尼亚累计新冠确诊病例18791例，累计死亡病例1235例，累计治愈病例12629例。",http://news.southcn.com/international/content/2020-05/29/content_190962415.htm
3,习近平同秘鲁总统比斯卡拉就抗击新冠肺炎疫情合作互致信函,"
　　新华社北京5月29日电 日前，国家主席习近平同秘鲁总统比斯卡拉互致信函，就两国抗击新冠肺炎疫情合作交换意见。
　　习近平代表中国政府和中国人民就秘鲁疫情扩散蔓延再次向秘鲁政府和人民表示诚挚的慰问。习近平强调，应秘方要求，中方向秘鲁派出抗疫医疗专家组，希望他们能为秘鲁抗疫助一臂之力。我愿同你一道努力，加强两国在抗疫等各领域务实合作，维护公共卫生安全，促进经济早日恢复，以更多实实在在的成果迎接明年中秘建交50周年。
　　比斯卡拉感谢中国政府向秘鲁派遣抗疫医疗专家组，提供防疫物资和采购便利，并分享抗疫经验。比斯卡拉重申，秘鲁高度重视秘中全面战略伙伴关系。我相信，两国人民通过合作终将战胜疫情挑战，再次印证秘中两个历史悠久的文明古国坚韧不拔，可以战胜一切艰难困苦。
",http://news.southcn.com/china/content/2020-05/29/content_190964747.htm
4,习近平同秘鲁总统比斯卡拉就抗击新冠肺炎疫情合作互致信函,"
　　新华社北京5月29日电 日前，国家主席习近平同秘鲁总统比斯卡拉互致信函，就两国抗击新冠肺炎疫情合作交换意见。
　　习近平代表中国政府和中国人民就秘鲁疫情扩散蔓延再次向秘鲁政府和人民表示诚挚的慰问。习近平强调，应秘方要求，中方向秘鲁派出抗疫医疗专家组，希望他们能为秘鲁抗疫助一臂之力。我愿同你一道努力，加强两国在抗疫等各领域务实合作，维护公共卫生安全，促进经济早日恢复，以更多实实在在的成果迎接明年中秘建交50周年。
　　比斯卡拉感谢中国政府向秘鲁派遣抗疫医疗专家组，提供防疫物资和采购便利，并分享抗疫经验。比斯卡拉重申，秘鲁高度重视秘中全面战略伙伴关系。我相信，两国人民通过合作终将战胜疫情挑战，再次印证秘中两个历史悠久的文明古国坚韧不拔，可以战胜一切艰难困苦。
",http://news.southcn.com/china/content/2020-05/29/content_190964747.htm
5,疫情之下，责任担当中国奥园首发年度企业CSR报告,"
　　5月27日，中国奥园发布年度企业CSR报告,并携手高校学者、媒体代表、知名企业代表、咨询公司及社会公益组织以“疫情如何重塑企业社会责任生态”为主题开展深度研讨。
　　首次发布企业CSR报告

　　中国奥园CSR报告（左）和战疫画册（右）
　　据了解，中国奥园集团首次正式发布2019年中国奥园集团企业CSR报告及战疫画册。本次CSR报告全面总结了中国奥园履行社会责任的意愿、行动和成果，如打造A+产品力、提供高质量产品与服务、将绿色环保理念融入生产经营各个环节、守护绿水青山等。

中国奥园集团品牌管理中心负责人戴远程作主题分享
　　中国奥园集团品牌管理中心负责人戴远程表示，自1996年创立以来，中国奥园一直积极履行社会责任，今年面向社会公众发布的第一份独立成册的企业社会责任CSR报告，一方面是为了多层次、多维度深入剖析中国奥园多年来在履行社会责任方面所做的工作，另一方面通过对标CASS4.0、ESG等指标对履行社会责任的理念、战略、方式方法，以及经营活动对经济、环境、社区等领域带来的影响、取得的成绩及不足进行系统的梳理和总结。

嘉宾合影
　　疫情重塑企业社会责任生态
　　活动现场，中国企业社会责任研究中心、深圳可持续发展研究院、广东省工商联、中山大学管理学院、广东省和的慈善基金会，以及安永咨询、腾讯、三七互娱等嘉宾及媒体代表从多重视角观察疫情发生后的企业担当，指出对比2003年的“SARS”，企业在本次抗击新冠肺炎疫情中呈现出更具理性、更具专业性、与自身资源和专长结合更紧密等特点，体现出企业作为社会治理共同体的重要力量。现场嘉宾认为，在当前社会背景下，企业更应重视自身社会属性，积极参与到社会治理中，为促进社会均衡发展和提升人民福祉贡献智慧和力量。同时，与会嘉宾对中国奥园等企业勇于承担社会责任，积极参与社会治理的创新模式给予了高度肯定。
　　中国奥园高效驰援抗疫
　　2020年伊始的新冠肺炎疫情期间，中国奥园是最早支援武汉的知名地产企业之一，更是首家直接采购急缺医疗物资并运抵捐赠到武汉等疫区前线的企业。早在1月23日疫情初期，中国奥园就迅速出动，抓紧黄金救援周，3天后就将各地采购的40万只口罩陆续运抵捐赠至武汉疫情前线的医护手中。此后中国奥园还持续通过急需医疗物资和国家级抗疫手册捐赠、联合主流媒体传播抗疫海报和视频、携手谭咏麟及钟镇涛等温拿五虎创唱抗疫歌曲、积极扶贫助农、紧抓复工复产等方式助力打赢全球疫情防控阻击战，至今已采购120万只各类型医用口罩，以及价值数百万的医用呼吸机、防护服、检测试剂盒、额温枪、手套等，绝大多数已捐至中国武汉、广州、珠海和克罗地亚萨格勒布等抗疫一线。
　　参与抗疫行动，只是中国奥园承担众多社会责任工作中的一项。多年来，中国奥园始终肩负企业公民使命和社会责任，持续开展“双十双百”精准扶贫工程、支教助学、赈灾济困、“山海对话”、志愿服务等，同时开发大型县域综合体，通过“公司+农户+商场+电商”、产城融合等推行“奥园精准扶贫”模式，强化扶贫产业支撑，带动贫困地区农产品销售，助力打赢脱贫攻坚战。
　　房地产行业与人民生活、城市发展和国民经济息息相关，房企要承担的社会责任也是多方面的。CSR报告是企业践行社会责任的重要标志，体现了中国奥园在履行社会责任上的自信和担当。未来，中国奥园将继续发挥企业在社会可持续发展中的作用，与行业市场和社会各界共担责任，共同进步。
　　撰文：喻孟",http://finance.southcn.com/f/2020-05/29/content_190962100.htm
6,疫情之下，责任担当中国奥园首发年度企业CSR报告,"
　　5月27日，中国奥园发布年度企业CSR报告,并携手高校学者、媒体代表、知名企业代表、咨询公司及社会公益组织以“疫情如何重塑企业社会责任生态”为主题开展深度研讨。
　　首次发布企业CSR报告

　　中国奥园CSR报告（左）和战疫画册（右）
　　据了解，中国奥园集团首次正式发布2019年中国奥园集团企业CSR报告及战疫画册。本次CSR报告全面总结了中国奥园履行社会责任的意愿、行动和成果，如打造A+产品力、提供高质量产品与服务、将绿色环保理念融入生产经营各个环节、守护绿水青山等。

中国奥园集团品牌管理中心负责人戴远程作主题分享
　　中国奥园集团品牌管理中心负责人戴远程表示，自1996年创立以来，中国奥园一直积极履行社会责任，今年面向社会公众发布的第一份独立成册的企业社会责任CSR报告，一方面是为了多层次、多维度深入剖析中国奥园多年来在履行社会责任方面所做的工作，另一方面通过对标CASS4.0、ESG等指标对履行社会责任的理念、战略、方式方法，以及经营活动对经济、环境、社区等领域带来的影响、取得的成绩及不足进行系统的梳理和总结。

嘉宾合影
　　疫情重塑企业社会责任生态
　　活动现场，中国企业社会责任研究中心、深圳可持续发展研究院、广东省工商联、中山大学管理学院、广东省和的慈善基金会，以及安永咨询、腾讯、三七互娱等嘉宾及媒体代表从多重视角观察疫情发生后的企业担当，指出对比2003年的“SARS”，企业在本次抗击新冠肺炎疫情中呈现出更具理性、更具专业性、与自身资源和专长结合更紧密等特点，体现出企业作为社会治理共同体的重要力量。现场嘉宾认为，在当前社会背景下，企业更应重视自身社会属性，积极参与到社会治理中，为促进社会均衡发展和提升人民福祉贡献智慧和力量。同时，与会嘉宾对中国奥园等企业勇于承担社会责任，积极参与社会治理的创新模式给予了高度肯定。
　　中国奥园高效驰援抗疫
　　2020年伊始的新冠肺炎疫情期间，中国奥园是最早支援武汉的知名地产企业之一，更是首家直接采购急缺医疗物资并运抵捐赠到武汉等疫区前线的企业。早在1月23日疫情初期，中国奥园就迅速出动，抓紧黄金救援周，3天后就将各地采购的40万只口罩陆续运抵捐赠至武汉疫情前线的医护手中。此后中国奥园还持续通过急需医疗物资和国家级抗疫手册捐赠、联合主流媒体传播抗疫海报和视频、携手谭咏麟及钟镇涛等温拿五虎创唱抗疫歌曲、积极扶贫助农、紧抓复工复产等方式助力打赢全球疫情防控阻击战，至今已采购120万只各类型医用口罩，以及价值数百万的医用呼吸机、防护服、检测试剂盒、额温枪、手套等，绝大多数已捐至中国武汉、广州、珠海和克罗地亚萨格勒布等抗疫一线。
　　参与抗疫行动，只是中国奥园承担众多社会责任工作中的一项。多年来，中国奥园始终肩负企业公民使命和社会责任，持续开展“双十双百”精准扶贫工程、支教助学、赈灾济困、“山海对话”、志愿服务等，同时开发大型县域综合体，通过“公司+农户+商场+电商”、产城融合等推行“奥园精准扶贫”模式，强化扶贫产业支撑，带动贫困地区农产品销售，助力打赢脱贫攻坚战。
　　房地产行业与人民生活、城市发展和国民经济息息相关，房企要承担的社会责任也是多方面的。CSR报告是企业践行社会责任的重要标志，体现了中国奥园在履行社会责任上的自信和担当。未来，中国奥园将继续发挥企业在社会可持续发展中的作用，与行业市场和社会各界共担责任，共同进步。
　　撰文：喻孟",http://finance.southcn.com/f/2020-05/29/content_190962100.htm
7,佛山中心基层党员誓夺疫情防控和安全度汛目标“双胜利”,"
　　近日，佛山中心三水所结合今年防汛防台形势，围绕党建融入中心工作，组织13名党员干部前往珠江三角洲源头——思贤滘河段，开展了一场别开生面的主题党日活动。

　　在思贤滘河段昆都山上，三水所主要负责人为党员上了主题党课，讲述了思贤滘的历史由来以及汛期特点。思贤滘河段全长约2.5公里，配布有一线航标5座(其中岸标3座)，桥区水标8座，桥涵标2座(4盏)，桥柱标4座(16盏)，管线标4座。因处于西江、北江、绥江三江交汇处，汛期水流复杂，水位落差大、流速快，被列为广东十大危险水域之一。

　　面对思贤滘河段，党员干部发出庄严承诺，纷纷表示要传承先进精神，以赶考的心态，把保安全畅通作为锤炼党性、践行初心使命的主战场，奋力夺取疫情防控和安全平稳度汛目标“双胜利”。（佛山航道事务中心供稿）",http://tech.southcn.com/t/2020-05/29/content_190965943.htm
8,佛山中心基层党员誓夺疫情防控和安全度汛目标“双胜利”,"
　　近日，佛山中心三水所结合今年防汛防台形势，围绕党建融入中心工作，组织13名党员干部前往珠江三角洲源头——思贤滘河段，开展了一场别开生面的主题党日活动。

　　在思贤滘河段昆都山上，三水所主要负责人为党员上了主题党课，讲述了思贤滘的历史由来以及汛期特点。思贤滘河段全长约2.5公里，配布有一线航标5座(其中岸标3座)，桥区水标8座，桥涵标2座(4盏)，桥柱标4座(16盏)，管线标4座。因处于西江、北江、绥江三江交汇处，汛期水流复杂，水位落差大、流速快，被列为广东十大危险水域之一。

　　面对思贤滘河段，党员干部发出庄严承诺，纷纷表示要传承先进精神，以赶考的心态，把保安全畅通作为锤炼党性、践行初心使命的主战场，奋力夺取疫情防控和安全平稳度汛目标“双胜利”。（佛山航道事务中心供稿）",http://tech.southcn.com/t/2020-05/29/content_190965943.htm
9,奔跑吧，吾粤！,"
　　5月27日和28日，全国政协十三届三次会议和十三届全国人大三次会议相继闭幕，全国两会圆满完成各项议程。
　　28日，出席两会的广东代表委员返回广东。

　　这，既是结束更是开始。
　　在我国新冠肺炎疫情防控阻击战取得重大战略成果、全面建成小康社会进入决战决胜阶段的重要时刻，这场不同寻常的两会，坚定了信心、凝聚了力量。
　　应对危机、面对变局。
　　“坚持人民至上、紧紧依靠人民、不断造福人民、牢牢植根人民……”
　　以人民为中心的思想凝聚起磅礴伟力，为统筹推进我省疫情防控和经济社会发展，奋力夺取“双胜利”汇集起强大正能量。
　　南粤大地，
　　联防联控和群防群治两张网越织越密；
　　重大项目建设吹响冲锋号角，科技装置上紧发条，大湾区加速建设综合性国家科学中心……
　　一张张生产订单加快生产，广东智造走向世界，高质量发展引擎加速转动，对外开放的步伐不乱、节奏不变；
　　天蓝水清、活力奔涌，广东越来越美丽、越来越幸福、宜居。
　　在危机中育新机、于变局中开新局。
　　经济特区建立40年的今天，我们继续拿出“杀出一条血路”的精神，迎难而上。
　　奔跑吧，吾粤！

　　●“疫线”履职记

　　●疫情防控不放松 复工复产不停歇

　　●吹响建设冲锋号 启动发展强引擎

　　●大科学装置落户 新技术产业起飞

　　●激发创新活力 推动高质量发展

　　●“攻城拔寨” 机器轰鸣

　　●养鱼养蜂 村民腰包“鼓起来”了

　　●用“绣花”功夫为城市“美颜” 让群众有更多获得感

　　●织密绿网处处增景，奏响生态文明乐章

　　●回村当上了“粤菜师傅”
　　策划 | 谢思佳  罗彦军 赵杨 曹斯
　　统筹 | 吴少敏  张西陆 王良珏
　　文稿 | 柳时强 毕嘉琪
　　摄影 | 张梓望 李细华 肖雄 张由琼 姚志豪 石磊 董天健孙俊杰 叶志文 王云 鲁力 吴伟洪 
　　海报设计 | 郑炜良
　　图片编辑 | 罗斌豪",http://news.southcn.com/nfplus/nfpjx/content/2020-05/29/content_190962061.htm
