词语,tfidf值
出来,0.005191387717625535
打权,0.005174545836344576
一定？,0.005139129087668944
骄傲,0.005077263782637093
奥运会,0.005039672984641261
！加油中国,0.005037049803104053
一样,0.005032160457941196
全国,0.004944837115609998
可爱,0.004843778028964934
时候,0.004789573188240819
常态,0.0047754719837684225
秦始皇,0.004758704174836652
万岁,0.004650243743501098
500,0.004629440120617942
需要,0.004600982059522248
可能,0.004538356974159488
还有,0.004530563822609555
只是,0.004455071409739389
封城,0.004453530052278417
万来,0.004406580187269458
政客,0.0043855930995137776
利益,0.004383964387219049
那么,0.004316952526335443
了我,0.004303930401506274
奥运,0.00426573059224258
起来,0.004244204207315818
老龄化,0.0042408374827558526
波兰,0.0041785379857973695
！美国,0.004151371479313178
大家,0.004131414456237031
很多,0.0041152406789951934
湖北,0.004063125064192741
英国,0.00405916502153816
一直,0.004051209015289416
！我,0.004017496483834376
考古,0.003997445649334241
工作,0.0039032163343125214
100,0.0038986377814276972
眼睛,0.0038543098211726804
伟大,0.0037266787448565863
节目,0.0037227006322730657
想象,0.0036956250885623607
家里,0.003692271526776007
只有,0.00364736704400407
这样,0.003633470164218647
法国,0.003573454691644872
战忽局,0.0035711258096040766
反复,0.003548068369962775
这次,0.003535567014351121
表示,0.0035207027686451403
二战,0.003511503546478452
种花,0.00350447206674017
一切,0.003488857298235943
不错,0.0034805279738952415
累计,0.0034709364488766277
病毒,0.0034533804355625294
上班,0.0033904509660041262
？美国,0.0033904172172895394
国徽,0.0033267332920633957
哈哈,0.0033102266838872327
考古美国,0.0033032583595589164
300,0.003286490550627145
不要,0.003265927151822786
赛亚人,0.0031791765734638096
了？,0.003150742222718485
感染,0.003144397152269727
了保护,0.0031179945145651936
印度,0.0031179945145651936
了老,0.0031172689863285053
不到,0.003116081173437192
了智贤姐,0.0030819232816595367
设想,0.0030724212228593665
明白人,0.0030699151696596443
为什么,0.0030663794406245986
意大利,0.003033291286195948
起飞,0.0030299741908667317
反对,0.0029764709291320956
治国,0.002954487933778076
弹幕,0.002942119223251556
老人,0.002937047473117101
真是,0.002936189770453647
一句,0.00292296766739746
人加油中国,0.0029209523159145338
啊下次,0.0029145197839656758
看到,0.0029082402746201746
援助,0.002904184506982763
应该,0.002875698999331806
nb,0.0028722803668067526
计划,0.002859406700882983
厉害,0.002851181381036923
之前,0.0028469367165113993
感动,0.002770905765625338
队友,0.00274321354123776
的下次,0.002742746154186056
超级,0.0027258503873224867
经济,0.002716124394471116
。智贤姐,0.0026962636762288008
同行,0.0026962636762288008
罪犯,0.0026828494290833836
时间,0.0026789708705029875
澳洲,0.002676142305510675
带不动,0.002676142305510675
会儿,0.002676142305510675
老大,0.002669435181937967
10,0.002662823445042826
了川普,0.0026614284981049327
啊啊啊,0.002659062420955127
别人,0.002658605916283679
怕死,0.0026258388787153615
十斤,0.0026258388787153615
为了,0.0026184525867765825
有点,0.002609609343519691
六部,0.002599010384424528
！岂,0.0025923032608518195
大哥,0.0025837408489135455
幽灵,0.00256534060211858
难民,0.002555414081201923
物资,0.002543643997717991
自制,0.002541999834056506
永远,0.0025370392695609327
主要,0.002520285223815729
安倍,0.002491696407261193
支棱,0.0024883428454748383
不行,0.002462547590576829
大国,0.002451453665824942
喜欢,0.002447288492559179
求援,0.002434685856893171
拒绝,0.002424625171534108
？历史,0.0024179180479613994
人类,0.0024155882543720844
延期,0.0024011502390296285
感谢,0.0023997406737964583
砖头,0.002393566972338961
优先,0.002371039283187535
直观,0.0023709681829524407
保护保护,0.002367614621166086
了哈哈哈,0.00236299379782277
翻译,0.0023556900077388292
确诊,0.002338147635340774
俄罗斯,0.002338147635340774
口区,0.00233072544151619
加油岂,0.0023273718797298354
少数民族,0.002293836261866293
河南,0.002273714891148168
？老,0.0022703613293618133
30,0.0022614888109813475
医院,0.0022572418836367815
来看,0.0022503587428910317
同袍,0.0022401792732846255
才能,0.0022386891094229103
的话,0.0022206555488862747
社会,0.002203290093634729
命运,0.002173108037557541
呵呵,0.0021577118049607787
啊中国,0.00215634022862577
欢迎,0.0021552057517610565
人比,0.002151068700022634
合作,0.002149633105053061
给奥利,0.002146279543266707
老年人,0.0021429259814803527
哈哈哈哈哈哈,0.002140473473655254
不靠,0.0021261581725485813
一下,0.0021082080575347555
回家,0.0021032553003340433
一定日本,0.002102683240044102
指责,0.0020859154311123305
物价,0.0020792083075396226
取消,0.00205496362377217
事情,0.002044323863073948
不想,0.0020328774808618883
人武汉,0.002032258442530663
成功,0.002028904880744309
中国中国,0.0020221977571716005
字幕,0.002017290488668808
眼神,0.002016228179052583
