日期,内容
2020-02-03,说一套做一套。
2020-02-03,字正腔圆
2020-02-03,墙头草
2020-02-03,墙头草
2020-02-03,变色龙，李显龙
2020-02-03,变色龙，李显龙
2020-02-03,变色龙，李显龙
2020-02-03,变色龙，李显龙
2020-02-03,听说哪里排华？14亿人还排他呢！
2020-02-03,新加坡理客中，航妈之力也
2020-02-03,我觉得他做的没错
2020-02-03,新加坡还真是见风使舵
2020-02-03,新加坡地方小不见得密度就是大
2020-02-03,没有疫情也排华
2020-02-03,前面的是个zz吧
2020-02-03,新加坡人口密集最大，他限制人去也是对的
2020-02-03,哟，说中文了
2020-02-03,见风使舵
2020-02-03,加油
2020-02-03,说反华的那个脑子是浆糊吧
2020-02-03,竟然不用英文
2020-02-03,那新加坡第一个不让中国人入境和转机？害我改签
2020-02-03,这老头是人精
2020-02-03,只有大马华人爱中国
2020-02-03,新加坡华人最反华了
2020-02-03,@美国
2020-02-03,老的好快
2020-02-03,新加坡现在已经好多了
2020-02-03,听他讲英语习惯了
2020-02-03,突然汉语。。。
2020-02-03,华人是一个民族，弹幕别瞎骂了
2020-02-03,最近事情太多了
2020-02-03,这个病毒是不是中国来的现在还不好啊下定论
2020-02-03,错新加坡是华人国家
2020-02-03,愚昧不合逻辑没疫情新加坡也排华
2020-02-03,新加坡反华先锋
2020-02-03,排华？你祖宗从哪里来的？
2020-02-03,种族？你是什么种族？高加索人？和族？大韩民族？
2020-02-03,外国人说中文自带闽南口音耶
2020-02-03,他说中文和李宗伟好像阿
2020-02-03,新加坡就是华人国家啊
2020-02-03,开口跪
2020-02-03,？？
2020-02-03,废话真多，人家新加坡人，英语和汉语必修！
2020-02-03,新加坡的官方语言：英文、华文、马来文、印度文
2020-02-03,开幕雷击
2020-02-03,开幕雷击
2020-02-03,当年非典的时候他们就很跳
2020-02-03,他说的中文跟英语似的
2020-02-03,客家话
2020-02-03,李显龙本来就是华人他汉语比他爹说的还好
2020-02-03,啊这
2020-02-03,新加坡基本上大部分都是华人，汉语也算是官方语言
2020-02-03,新加坡用的简体中文
2020-02-03,？？？
2020-02-03,韩国
2020-02-03,本来就是华人
2020-02-03,？？
2020-02-03,讲道理中国如果放弃治疗，全世界都跑不了
2020-02-03,新加坡好像绝大部分是华人
2020-02-03,新加坡貌似是双母语叭
2020-02-03,南洋
2020-02-03,科普一下：新加坡国语就是中文，还有英语
2020-02-03,祖籍广东的
2020-02-03,李显龙祖上就是中国的
2020-02-03,中国万岁
2020-02-03,大中华万岁
2020-02-03,新加坡官方语言里有汉语啊，有什么奇怪的？
2020-02-03,用好与坏来定义一个国家领导人，这很幼稚
2020-02-03,新加坡：船小好掉头
2020-02-03,新加坡是华语国家呀
2020-02-03,大家本来就都是华裔会汉语不是正常么
2020-02-03,常识啊，用了一个世纪了好吗
2020-02-03,新加坡也有汉字拼写大赛哦
2020-02-03,新加坡很多华人的，但是李显龙很少说中文啊。。。。
2020-02-03,大多数是华人
2020-02-03,姚安濂
2020-02-03,哦
2020-02-03,？
2020-02-03,新加坡就是中文和英文
2020-02-03,@us
2020-02-03,@美国
2020-02-03,毕竟这老头以前也是中国的
2020-02-03,废话新加坡人会讲中文和英文，本来大部分都是华侨，不过头一次见新加坡为中国说话
2020-02-03,说的对啊
2020-02-03,这是新加坡总理，一帮人高潮什么？
2020-02-03,外国人说中文挺溜的啊
2020-02-03,他也不是个好人
2020-02-03,新加坡华、英、马来、印地语都用
2020-02-03,百分之70是华人，你说呢！
2020-02-03,开口脆
2020-02-03,开幕雷击
2020-02-03,他是不是会讲粤语
2020-02-03,说的好
2020-02-03,中文？
2020-02-03,宁还会说汉语？
2020-02-03,这中文厉害
2020-02-03,新加坡用的是中文吗？wtf惊了
2020-02-03,都是中华民族的，只不过是海外华人
2020-02-03,这些国家即便没有病毒也是排华的，只是找个借口而已
2020-02-03,中文？
2020-02-03,哎，怎么这次是讲中文了？
2020-02-03,wow
2020-02-03,武汉加油！！
2020-02-03,非典的时候也是你说的啥！我们可没忘
2020-02-03,这个三观很正了
2020-02-03,没人吗
2020-02-03,说的是汉语
2020-02-03,哦
2020-02-03,为啥是汉语？
2020-02-03,武汉加油
2020-02-03,有头脑的人
2020-02-03,开口跪
2020-02-04,屁股决定脑袋，很正常啊
2020-02-04,看了内容发弹幕，说新加坡排华的二逼青年
2020-02-04,谢谢您
2020-02-04,明白人
2020-02-04,变色龙
2020-02-04,新加坡很多都说汉语
2020-02-04,李显龙
2020-02-04,忘词了
2020-02-04,新加坡不是中国的一个岛吗？
2020-02-04,世界上唯一一个华人发达国家
2020-02-04,弹幕很有意思，人家反对“反华分子”，你敌友不分张口就骂，请问谁反华？
2020-02-04,人家说反对“反华”，你说“给爷爬”，那谁是反华的？
2020-02-04,他会讲闽南话
2020-02-04,他们是新加坡人，不是中国人哦
2020-02-04,尖团音
2020-02-04,一直都排华
2020-02-04,不是突然中文，李显龙说这些东西一直都是中英双语，有时候还会讲马来语
2020-02-04,李家坡
2020-02-04,见人说人话见鬼说鬼话
2020-02-04,说英文吧，听不懂
2020-02-04,新加坡怎么排华？75%都是华人，政府清一色都是华人，难道排自己吗？
2020-02-04,蝙蝠惹谁啦？该死的人渣嘴巴缺吃的吗？
2020-02-04,新加坡7成华人，你们说他排华？自己排自己？
2020-02-04,中国人的种
2020-02-04,李墙头？
2020-02-04,那为什么要把湖北人空投到杭州？
2020-02-04,新加坡排华先锋
2020-02-04,排华？
2020-02-04,东南亚小国领导必须是人精要不然怎么活
2020-02-04,开玩笑，灭去新加坡只要半小时
2020-02-04,人类的问题
2020-02-04,？
2020-02-04,居然说中文了
2020-02-04,你害怕了？
