日期,内容
2020-05-14,老爷子辛苦了
2020-05-14,福奇能干嘛
2020-05-14,你完了，你被开除了
2020-05-14,这不自由
2020-05-14,战术自我隔离
2020-05-14,解雇
2020-05-14,shutup
2020-05-14,保护
2020-05-14,fightforfreedom
2020-05-14,加油川宝
2020-05-14,复工！MAGA！！！
2020-05-14,国士
2020-05-14,借你吉言
2020-05-14,老倒霉蛋了
2020-05-14,保重
2020-05-14,你被炒了
2020-05-14,我感觉这句话要被断章取义了
2020-05-14,Trump：给你个机会重说一遍
2020-05-14,明眼人
2020-05-14,美国政府的目标和富奇他们的目标不一样，后者想尽快结束疫情，前者只是想拖延时间到疫苗出现
2020-05-14,画质不行啊
2020-05-14,危
2020-05-14,嗓子哑了，可怜
2020-05-14,危
2020-05-14,支持复工
2020-05-14,保护
2020-05-14,保护
2020-05-14,保护
2020-05-14,恢复到欧洲黑死病时期的正常生活
2020-05-14,你完了
2020-05-14,美国人很多人失去理智，对盖茨这样的人都抨击
2020-05-14,保护
2020-05-14,wei
2020-05-14,youareasnake
2020-05-14,这都不算大爆发？
2020-05-14,我认为已经控制不住了，您老还是省省心吧
2020-05-14,危
2020-05-14,保护
2020-05-14,危福奇危
2020-05-14,youarefire
2020-05-14,没有人比我更懂风险
2020-05-14,福奇，危！
2020-05-14,fire
2020-05-14,送回英国的原点嘛
2020-05-14,美帝国需要自由
2020-05-14,你完了。
2020-05-14,危
2020-05-14,美国王允
2020-05-14,这是个聪明人不能留
2020-05-14,福奇：我太难了
2020-05-14,支持川普复工！
2020-05-14,为什么已免疫！无症状！患者那么多！你说重回高峰？如果起源地就是美国没有什么爆发不爆发的问题了！
2020-05-14,川宝:反正我有末日计划
2020-05-14,接你吉言
2020-05-14,太难了
2020-05-14,福奇的声音还没好...
2020-05-14,freedom~
2020-05-14,第三炸弹：败者吔尘！
2020-05-14,美国就这样，左右横跳，到头来一看，还在原地。
2020-05-14,fire夫妻
2020-05-14,没有人比我更懂复工
2020-05-14,危
2020-05-14,危
2020-05-14,解雇福奇
2020-05-14,亲小人远贤臣
2020-05-14,科学政治化真是可怕
2020-05-14,他是真没办法
2020-05-14,危
2020-05-14,保护个屁这个人绝对有很大责任
2020-05-14,这何尝又不是一场类似于丧尸爆发得一种病毒呢？
2020-05-14,这个人危险，必须死
2020-05-14,保护
2020-05-14,？
2020-05-14,这不自由
2020-05-14,兄弟们把保护打在公屏上
2020-05-14,FakeNews
2020-05-14,川宝宝生气了
2020-05-14,嗓子嘶哑
2020-05-14,你完了
2020-05-14,在福博士眼里，老特就是个笑话
2020-05-14,老人家长命百岁
2020-05-14,操碎了心
2020-05-14,还敢说？不怕性命不保？
2020-05-14,福奇难顶
2020-05-14,第一条弹幕
2020-05-14,保护
2020-05-14,众人皆醉我独醒
2020-05-14,啊这
2020-05-14,复兴之路
2020-05-14,你懂个毛线，我最懂经济
2020-05-14,明白人儿
2020-05-14,支持复工！
2020-05-14,你懂个蛇，没人比我更懂复工
2020-05-14,特朗普：我不仅要登日，还要时光穿梭。一人打破科学瓶颈
2020-05-14,现在控制住了吗？
2020-05-14,“前”感染病专家
2020-05-14,时光倒流
2020-05-14,7分钟
2020-05-14,可怜的福奇
2020-05-14,f…f…f…fakenews
2020-05-14,支持川建国复工计划
2020-05-14,当你看到这条弹幕时，你已经不是第一了
2020-05-14,fakenews
2020-05-14,心疼
2020-05-14,1
2020-05-14,特朗普心想隔离了你小子还跟我唱反调
2020-05-14,。。
2020-05-14,自由
2020-05-14,已经无法控制了
2020-05-14,一播放量，138赞，B站特
2020-05-14,危
