,2020-04-17
0,老王爷儿：公开透明，我们没有遗忘
1,共84条回复
2,陈大佬吖：逝者安息生者奋进。 向所有不幸罹难的同胞和牺牲的工作人员表示深切哀悼🙏
3,共13条回复
4,iBingo：实事求是就好。
5,共7条回复
6,歌帝梵桶装：公开透明，我们不会遗忘每一个逝去的同胞！！
7,共8条回复
8,一个不愿意透露姓名的妇女主任：这次疫情🇨🇳 政府在全国经济停摆，抗疫资金投入天文数字的情况下，丝毫未提钱的事情，天天喊的是人命关天、应收尽收、应治尽治， 放眼世界这是独一无二的。这个国家从政府到百姓是值得我们去尊敬去爱的！加油🇨🇳 。
9,共7条回复
10,医美小卖部-：保持实事求是的态度
11,HD不是铁憨憨：@方方 你要不要也订正点什么?
12,共31条回复
13,崔小柒不思基：美国死了3w+了，还不包括流感
14,共8条回复
15,一天到晚游泳的鱼2021：武汉的病例死亡数修正，体现了负责任的政府形象，对历史和人民要负责。实事求是，敢于动态修正错误，及时纠偏是值得点赞的。这种作风需要大力提倡，做到并不难，主要看你的态度。
16,共21条回复
17,长寿湖畔有人家：按照国情，确实有管理范围不清不楚，加上事发突然，数据不准可以理解。较之国外，中国政府已经做得很好了。不能因为部分官员的不作为，而否定整个湖北，甚至中国政府。坚持兼听则明，不做营销号的炮灰。
18,御海联盟：只要数据经得起历史的考验，我们对数据订正都表示支持！公正公开、数据透明，外界的质疑就会越少！
19,刘能·：公开 透明
20,冰焰89iceflame：外网的喷子又要大肆报道了。又要说我国粉饰太平了。西方国家一直说咱们的感染人数不实，甚至有的人说“先进”的美国都是那么多人，中国不可能那么少。。不好好管理自己国家疫情，中国一出事就去报道去关心，但凡他们像“关心”中国一样“关心”自己的国家，他们国的疫情也不至于这么严重！
21,共8条回复
22,HD不是铁憨憨：@方方 在? 出来写日记
23,林语彬blingbling_：@方方 来写啊老妖婆
24,共48条回复
25,晴晴想要早睡：真的哪个国家都有禽兽
26,m六六六公子：人都是一样的，在哪里都一样
27,哈菲特大侠：禽兽不分国界啊   禽兽不分国界
28,共8条回复
29,倒放：这是养老院还是刑场？？
30,我要操死我自己：活了一辈子 晚年居然这种遭遇 真是让人心都碎了 唉
31,qiumusanchen：中国有句老话：求个好死也是福气。我有个同学家里有个常年卧床不起的老人，夫妻两个都是普通职工每天需要工作养家糊口，其中一人的工资花钱雇了保姆，还有个儿子在读书，基本就是一个人的工资养一家四口还得给老人买药，一家人活的心力憔悴。
32,可乐瓶瓶123：回复@qiumusanchen:很多人家都是这样 我有个朋友 两口子离婚了 儿子因小时候打针出了问题腿有残疾 跟着父亲 父亲接近退休了 也没啥文化 收入少 母亲另嫁他人 但是经常给爷俩接济 买东西 就好像除了没在一个屋檐下生活 其他没啥改变 我估计母亲是为了这个家庭才另嫁 好在对方也不责怪 都是好人 但命运多舛 底层老百姓难
33,共3条回复
34,何小木喬：方方：检验一个国家的文明尺度，从来不是看你楼有多高车有多快，不是看你武器多强大军队多威武，不是看你科技多发达艺术多高明，更不是看你开会多豪华焰火多绚烂，甚至也不看你有多少游客豪放出门买空全世界。检验你的只有一条就是你对弱势人群的态度 网友：这是意大利 方方：对不起，我什么也没说过
35,姓吴同学：禽兽不如
36,橘猫阿端：这个词最近通用：看见虐猫，禽兽不如；看见虐狗，禽兽不如；看见性侵少女，禽兽不如，看见虐待老人，禽兽不如。禽兽好累啊！
37,赵老宽：虽说久病床前无孝子，但是你拿这份工资就应该好好干吧
38,L江湖小昊：爸爸妈妈年纪大了我要自己养着，绝不送养老院
39,福佑bbbbbbblisss：这......一场疫情把什么人性都给体现出来了
40,福佑bbbbbbblisss：乌鸡鲅鱼
41,MR-Jonas：@方方 来写日记来！！！
42,喝一杯杯多肉葡萄：不意外，养老院就欺负无儿无女的
43,书仙有云成独皮：也听说过一些儿女授意虐待的
44,二月初九z：@二月初九z: 请不要一概而论，这样的是少数。
