1-22,0.5
1-23,0.4283305227655986
1-24,0.6426690079016681
1-25,0.4974253347064881
1-26,0.6428571428571429
1-27,0.5656167979002624
1-28,0.5092348284960422
1-29,0.7084019769357496
1-30,0.4721508140531277
1-31,0.5423728813559322
2-1,0.5323415265200517
2-2,0.5216417910447761
2-3,0.5781049935979513
2-4,0.4741035856573705
2-5,0.5089108910891089
2-6,0.4718861209964413
2-7,0.5174515235457063
2-8,0.5632183908045977
2-9,0.4300975383186252
2-10,0.4897476340694006
2-11,0.4774617067833698
2-12,0.49375
2-13,0.4835680751173709
2-14,0.3853427895981087
2-15,0.4439560439560439
2-16,0.4530516431924882
2-17,0.4521739130434782
2-18,0.4581196581196581
2-19,0.4831932773109244
2-20,0.4472168905950096
