,2020-04-29
0,會唱歌的吹風機：太扯了
1,你在叫我做事啊_：俺也这么觉得，三年内不敢轻易去，况且人家也不一定想让外地人来
2,wng26719：疫情后！！评论没眼睛系列
3,共11条回复
4,嫌我烦了是芭：然而事实上各地政府都在发文让五一不要外出旅游，特别是不要去湖北、广州、北京等高风险地区
5,专业八级陈清泉：哪里发文不让旅游了？把之前的3天假改成5天不就是明摆着让旅游吗
6,别捆绑：人家说了疫情后疫情后，吐了吐了，都没脑子喷
7,共20条回复
8,夜半睡的香的女孩：这个有点假好吧。。我随便问一个身边人今年都不敢去
9,欧气满满的带带李老穷：疫情后ok？非典结束你也不去北上广啊？
10,冷风吹吹l：和谐社会嘛，营造良好氛围
11,共36条回复
12,哪托闹村：报告哪里调查的。我去点点反对。
13,桃小枝枝枝：#五一去哪玩#让我们用排除法，首先pass国外，其次pass港澳台、湖北省、黑龙江省、广州、北京（这几个地方重灾区或严管区，有隔离风险）
14,共6条回复
15,女神：说实话，武汉樱花🌸真挺好看，想去看看ne
16,奋斗小青年居士_886：我是在东莞公司没说不让去湖北 北京 只说不能去广州 去广州得提前申报 放假5天
17,共9条回复
18,小猫咪世界第一可爱：疫情后！！评论没眼睛系列
19,箫声涉水花飞羽：啥雕，结束了也不去啊，别代表我。。北上广苏杭西安四川不好玩儿吗？
20,共30条回复
21,一个人的房间丿：现实是和武汉沾边的东西都不好卖了
22,遇见山东：数据越来越扯淡了，包括之前的中国有五亿人不上网，现在的政府媒体真是拿网友当白痴呀！
23,Atinga：支持武汉，但武汉真没什么好玩
24,阿果狸：城市都差不多的  武汉相比许多城市的自然景观和人文景观资源已经算很丰富了
25,学好贝叶斯：湖北好玩的地方蛮多，武汉是真的无聊
26,共10条回复
27,绝对来不会咕下次一定：可别了，谁信啊？所谓想去武汉对于大部分人只是喊喊口号
28,童王星Teenstar：武汉加油！想去看樱花
29,荷叶伞教育总部：武汉加油，我想吃鸭脖
30,曾经跑的最快：网民的话不能信
31,桃小枝枝枝：这调查没经过微博网民同意
32,箫声涉水花飞羽：你是小编不是胡编
33,Koutarou_：不，是胡小编
34,依伊不舍V：有点扯
35,这是个个新名字：以前一直想去倒是真的，现在也想去
36,影舞月光：反正纽约和武汉给我选我去武汉
37,Koutarou_：回复@影舞月光:纽约不要签证的话你去么
38,共3条回复
39,沈雨笙：你一定也是某个人翘首以盼的惊喜。
40,-Miayaling-：别来太多了 我害怕又聚集 武汉又被封
41,永不再相见可以吗：谁敢去啊，胡说八道，今年都没人敢踏进武汉一步吧，什么玩意儿
42,腹黑野DE奇妙冒险：。。。。。。。我湖北的都不觉得武汉有啥好玩的   别搞了好嘛  
43,红昌杂谈：是吗
44,邢毓森：都好有钱，还可以计划去旅游。
45,徐大羽Ryan：有病啊…
46,咿呀咿呀哟8888：扯蛋，
47,最滁州：武汉加油！想去看樱花
48,关山城：这是什么报告啊，你们自己信吗？
49,钱厚春的微博：太扯了
50,都是牛奶巧克力_：我能说疫情后我也不想去吗，没啥玩的
51,颜晓依：加油吧
52,谁还不是个小姑凉：这新闻谁写的？他今年敢来武汉吗？
53,中华大酋长：给经济复苏政策，不要搞这些花里胡哨的
54,乾隆跳街舞V：我5年内应该都不敢去
55,谓语yu-KT：我劝你热爱生命
