,2020-03-31
0,国民男友：姚明血是不是比普通人多
1,乾隆bo：姚明可以
2,碎片馆：姚明真的很👍
3,流口水的时候打哈欠：中华民族全民族都是好样的
4,·循跡星·：无偿献血真的该夸
5,VickiGalaxy：什么是爱豆！就是能够带给普通人正能量的人！
6,HYH吴情：姚明
7,你好V8615：扎大姚的针管会不会也粗些
8,北京整形医生SUN：我要把你赞上天，欲和太阳肩并肩
9,mikeryo：打了姚明血，我就能灌篮了么……
10,susansan珊珊：口罩😷看着有点小
11,年华爱你：
12,今天不吃面包啦：👍🏻 👍🏻 👍🏻
13,人生活像锦鲤：真棒👍
14,服务员儿：人高马大
15,Andy35865：姚明血是不是比普通人多
16,共15条回复
17,恶人小新：谁有幸用到了姚明的输血，个子可能还会长长
18,大阿酷：看起来姚主席真的好高啊
19,共1条回复
20,JoyGirlVava：姚明没有辜负国家的培养
21,心理-汤汤：上周六我就是在这个方舱献的血～
22,共3条回复
23,实用干货分享：希望大家可以积极献血
24,abc古灵精怪的猫：助人为快乐之本。希望大家互帮互助。👏👏👏
25,懂王懂不懂：中国体育界多出几个姚明这种情商高能力强又有实力影响力的运动员就好了
26,式微胡不归mm：不看篮球，但也感觉姚明他很正义很自律
27,HYH吴情：姚明
28,越远lyy：想到南京那个CBA外援时间
29,共1条回复
30,我是村长啊啊啊：去时千山雪，归来万里春。
31,共3条回复
32,黑豆油：李院士是真正的偶像
33,共4条回复
34,伊婉青：致敬
35,一个颜究所：这才是真女神
36,共1条回复
37,畅叙茶园木易：尽心尽责，就是高尚。谢谢这么善良美好的人选择了学医。致敬。
38,god-请赐予我力量吧：谢谢所有抗疫一线人员的努力
39,木头本头：太不容易了！
40,祎心祎意ZQ：辛苦了抗疫战士
41,黑色的小贝壳：向中国的白衣战士们致敬！向一线抗疫的警察，街道社区，志愿者，保安，物流员致敬！向心有家国情怀，一方有难八方支援的全国同胞致敬！
42,JL7末未：致敬，要健康平安🙏
43,桃悠悠0111：真正的女神
44,浙江的老猫：女神
45,康熙：知道厉害了？还嘲笑戴口罩吗？抓抓紧防控把，保护好你们的人民才是好领导！
46,回复的都是我儿子：自由，自由懂不懂
47,共24条回复
48,全员18CM：哀悼每一个不幸的遇难者
49,亲爱的糖妞：回复@Dxbhdvcb:建议泡硫酸
50,共3条回复
51,全是甜份：与其搞这些，不如要求把口罩戴好给人民带来实实在在的保护！
52,鱼儿向天流：得，与其升旗，不如拿这些电费人力搞好社会发展，所以我们以后别升旗了。汶川大地震的时候与其让全国人民默哀，不如多去救人赈灾。是吧，你们这些杠精什么都能杠，人家默哀一分钟，你都要杠，本科率5%？
53,蹇谁卍留兮：不冲突呀
54,共26条回复
55,狮城日记：不仅要降下旗，还要放下对病毒的无视和高傲。
56,好运涵涵：这楼有人杠上开花
57,宇宙7548557uv：你谁啊你  你怎么知道人家是无视和高傲 你代表自己就好 别代表别人
58,共17条回复
59,旃旃的板栗绒：向所有失去生命的人致哀，向所有对战疫病的人致敬
60,式微胡不归mm：纪念哀思逝者，我觉得很有必要，有时候是需要这种仪式感的…这些逝去的生命，也是别人的亲人、爱人和朋友，还能让生者提高警惕
61,非草木人：没有胜利，只有结束
62,通往废墟的馬路：在生命面前一切傲慢与偏见都应该低下头。
63,共1条回复
64,醉心倪云林：看来意大利拐点要到了
65,金钱bot：致敬🙏
66,何兵：意大利人口六千多万，不到中国二十分之一。目前死亡一万多人，确实吓人。
67,HYH吴情：逝者安息
