,2020-05-02
0,思Mika：生8个，太厉害了
1,共78条回复
2,好大的奕：这条评论才是真的让人心凉 ¡评论配图
3,共79条回复
4,金顶灵鹫寺住持：这种新闻少写！有啥意思，想让我们支援非洲？自己过好先吧，还没能力同情别人！世界上惨的人多了去了
5,共31条回复
6,flyingxiao：8个孩子，再有钱都养不活
7,共14条回复
8,伤口上开烟花：眼窝浅，看不得这种新闻
9,anine00000：心酸归心酸，养不起还生那么多图啥
10,共69条回复
11,就是就是不踩里：好心酸 很坚强的妈妈
12,康熙：太可怜了！
13,共4条回复
14,张向征16439：建设5G网络，每人天天上网，就没时间生孩子了，就饿不着了
15,共9条回复
16,老王爷儿：人家生几个也是人家自己的选择！何必落井下石呢。
17,共6条回复
18,马大壮_：避孕也没有想象的那么容易
19,共15条回复
20,全丫头的妈咪：这么穷哪怕吃了上顿没下顿都挡不住生生生的步伐
21,羊羊动动多锻炼：感谢袁隆平，解决基本温饱的奠基人～ 想想咱们国家解放后，也有三年自然灾害，饿死过多少人…
22,共5条回复
23,Anyanna_：太可怜了🥺
24,简单快乐的Carla：单亲妈妈的贫困率应该是极高的
25,共2条回复
26,随风如歌：还是计划生育好！！！！！
27,全是甜份：不敢相信现在的年代还有这种事情
28,董思成的正牌女友_：评论好多人说她不该生那么多，可你想过吗？他们这种地区的人 连饭都要煮石头汤了，有钱买T和避孕药？有钱做流产？而且物质决定精神，大环境会导致他们的思想和我们有差异，没有优生概念，我们也大可不必站在一个“清醒人”的角度上去责问人家，因为如果你从小生活的环境和她一样 也许做的还没她好。
29,Airol_xue：太穷了，还生那么多孩子…
30,iAzure韦酱：听我爷爷说过，他们小时候很穷，我爷爷的妈妈晚上就让他们多喝水因为吃的太少了早早的睡觉就不会饿，现在想想，当时的生活真的太苦了
31,Jessier芯：今天煮的咖喱吃不完，好想送她。我们国家真的很好
32,评NEWS：灾难深重，水深火热，但很勤奋，生这么多孩子……
33,白骨夫人不是白骨精：天呐。8个孩子，辛苦了
34,牛市：非洲穷和疾病所以才会生很多孩子，因为他们不知道孩子哪天就会饿死或者病死
35,19年遇见：小时候看过一个童话故事，石头汤，一个动物有石头，他把石头放在锅里，于是其他小动物说我感觉少一点东西，拿出自已家里的一些食物放在锅里，最后的汤很美味，我想故事来源于生活，她也一定会喝到美美的汤
36,妍二爷：虽然很同情你，但是为什么要生八个？？？八个人孩子放发达国家里也不是随便什么家庭都扶养的起的，电影《何以为家》透露出来的道理挺对的，既然扶养不起为什么要生出孩子受苦？
37,我是无敌小英雄：靠一个人，怎么养大这些孩子，关键是教育跟不上。让我想起了那个故事：娶媳妇生娃干吗呢？继续放羊。
38,谁想和我去偷猫：非洲这么好的土地，没人种，不该饿死？？？
39,VincentHD：老父亲眼睛一直往上看强忍着泪水
40,共1条回复
41,小鹰出深山：不要英雄，只想让她活着，孩子只要妈妈
42,关二爷V：真痛埋得太深说不出
